name,logo,nativePaymentAsset,floorPrice,numOwners,totalSupply,sevenDayChange,sevenDayVolume,oneDayChange,oneDayVolume,thirtyDayChange,totalVolume
slimefarm_limited,https://lh3.googleusercontent.com/WcjErxeq_EfVMTAXiivur1GzdjPxejSI-yaixuyuoCfGC4Ym4djEdEEPrfsu04u4mThoK-IcIzrFZ_rPZf3KzhHlkNgBVyjorr7K7A=s120,KLAY,340,300,714,-0.46289743687301055,4297.378130563074826249176970,-1,0.000,22.022974963181134,49655.57009291094124173921526
PASS TICKET,https://lh3.googleusercontent.com/pmlciBnMeQvwZ1zLS8zbtTx8BXXlv7wbwJeZqJVfvHJYJQfnYyPV2vBctnVM5r7lu1yZBFKQOmVQATI6V55wQpOH9Grcm8YsZk0=s120,KLAY,,17,50,-1,0.000,0,0.000,0,46722.74245860462722705879484
DSC | ROCKET GEEKS,https://lh3.googleusercontent.com/RaSWJl7LEzVldFinHZyapuFeDmuc2JYRXjUN9rTAEivDSrJnsRhWAl3mEcsG-Q57aEMcpiYBY1FFw3kNdcexSLx-ZOIEy5VUos8bZIs=s120,KLAY,79,1512,8000,-0.6059259805235419,8750.533736093830207037822811,-0.5219136601679812,1298.453862023557263394054674,0,46227.66446011647544077840369
Pala Premium Pass: Moksha,https://lh3.googleusercontent.com/q5QQBmO6grcgqMSndPoZIof3Xw3ZKSJFaVYvg6aGKy_kwo0DObT8EXnXC6ZNoG9VsjYjgQG8uuX1jFTsu4FGKy7nFTYgo71x8Df_lg=s120,KLAY,3600,536,1008,-0.745425616547335,3174.170263613529153559148438,0,0.000,1.115377286585366,64870.12090618676448167386056
DanielPUNK,https://lh3.googleusercontent.com/CsjPuyWW_MBlTdGbKuEbapknV1dfXc2jOX71eBngILiJe9f1Wit7aOYcQrrYMc7WIj1EPveJOlJUm3fJ1ul9yG6vtv3DJHJD_lo_9hM=s120,KLAY,,63,73,0,235.2714170751335162289365230,-1,0.000,7.39123754483858,52867.29639256713100933986880
Klay Mystery Eggs,https://lh3.googleusercontent.com/51wdD6yHkKneUrdThhCPJlJwtabVTsUPSq9mCuBwsuylVyqQ9ubgImFw9VqglnQXcHAhGHfzp_GJClxye_6W38W-9LCu3Cz20ZCuVFA=s120,KLAY,22.8,888,10000,0.03205821741370531,8219.441207598714346331114200,3.0853932584269677,745.9443704733340283366254542,1.4269399610910072,59881.34083644250338234935499
Chris Brown Mintpang,https://lh3.googleusercontent.com/R5wv1W6LEeS5YE0V9WPeAX4xLqC-6mk5btpu4O-CNWVFnOVTHOGFeAI6egE0HCH47rtqzOtuxpvlXnMT9ZimXt4rRjpUAbOUaTR-rA=s120,KLAY,300,640,6146,0,41470.71292114478738995781208,-0.6305284532712594,9619.719755163752422757090253,0,41470.71292114478738995781208
[TREASURES CLUB X CHANNEL A] CITYANGLER,https://storage.opensea.io/files/7d6ea6842670a7565c6cd6816008a664.jpg,KLAY,35,481,5039,-0.6305511811023624,1163.531787255834086863218475,0.20000000000000018,523.7380934962323676445484917,0,41109.27424098325205940449192
ALAP : THE LOST PIONEERS,https://lh3.googleusercontent.com/ppYMskBNc9mkWHORdqhsmXAEubr_nZJ78DfIa4Jvp9OiKjVkyf5vpYpTVc-E4qP6-fOVvb6ZEMzVLEaI5RQmQotMDFnsT4_reWi_WQ=s120,KLAY,900,615,1333,-0.7239832244221204,2831.242226936864905991659960,0,890.3906650084132367644548492,-0.565706112309246,643204.3102006361021654839418
4PAR DAO,https://lh3.googleusercontent.com/OEDWjyx8Y7OGrW0_KFhg_wBb7TM6tQvbvn_eAmWp9G15v55YHYf-FtoJAMBK5BTqh07_P_wjFYz29-mfim2S4HsIRu-YHrLhnrBkgQ=s120,KLAY,279,180,999,-0.2175467099918766,4833.146731045918699246470115,1.0169696969696966,1669.924451922842558587558222,0.7437480143421249,60668.23491111275115955812422
MongzXMetaKongz,https://lh3.googleusercontent.com/FSSA8SJbajdw2js61nTnfAmAqAmfHkHWWCfkqeJz9MbrEF_cWrVOCTepuJQDCbG5BvOh_A_dnTDywtZ-OLmgP7M--5JbjJqDnqV3Nw=s120,KLAY,85,239,333,-0.16946831029759693,669.3747652839759577633087034,0.6333333333333333,245.8722900968127587972785134,6.473564236810313,42229.53927768434485087911820
ElecPK special vip,https://lh3.googleusercontent.com/4KeTzK0FUbLYxB7SO801NJg4GPshazOCuvdACNV3U5ARqK_3vAvhqVnZIi15_NZLp4s76KTMd05zxB2QvUqqkT_vaqCpRkA_kfq_Fg=s120,KLAY,290,281,353,0.5168483660130718,1221.115090521130514302436169,0,0.000,4.010854873326273,44446.50167769895526617406784
klaymfers,https://lh3.googleusercontent.com/AlzG12n644EAEZD4u0UvcN-yGI6smRcP9skZFn4aPzuZwlUkuogQft_cgb88Mt-9xNupPbkhAbQ8ko7Eqfbeg81ipKFVnokVzqnDfg=s120,KLAY,38,4525,5209,0,33031.21799999998493915672934,0.5027356286489507,3029.499999999999158680225327,0,33031.21799999998493915672934
Bot Guevara,https://lh3.googleusercontent.com/zKuqC4dsBoocPdHh3cMXPmr6000KYbvFZ9Edr5uNsn8-zfkX5dOjo_tNbs9cUYbue7MGB4Et4T4YXMbPUtq1k_y_uk922zvkHsG4aRM=s120,KLAY,57,388,1606,1.6042105263157909,5089.757117077575513936644963,0.06212424849699405,531.8869949033092496403053137,1.2474001379651367,48523.34002428835497597971078
Klanart,https://lh3.googleusercontent.com/YiyH4fIr5TIIFq4VAJz3_sM1opkZyuyVhZe4KIgt-I6NNrybV887oXD88TUHt_Rjcn6ar7tImsJJJ7_sL4l6qipr5eet4Nwb86iLrB4=s120,KLAY,,19,40,-1,0.000,0,0.000,5.194635695850709,38133.22718072529455458824103
HuatDao,https://lh3.googleusercontent.com/LUdd2acGvnlRPTYQ3wzoTzU_hYHcq548nN-aVPSvGHndVDaamw2X_e7_IeOSuuX3zrIYJgdoL7EzA0dj0R-bHcTTyWV4gCloWJYt=s120,KLAY,,58,888,-1,0.000,0,0.000,0,32518.17672543710346770063648
