name,logo,nativePaymentAsset,floorPrice,numOwners,totalSupply,sevenDayChange,sevenDayVolume,oneDayChange,oneDayVolume,thirtyDayChange,totalVolume
alien frens,https://lh3.googleusercontent.com/_zidXBb2QsMBD6OYdjED63tczeXDUr1ah7zvhSSLHQjU4BF-H-lUexkLJ76_ahmbkkItEiH738jVPG88DOFVdt4GX377cvNNgCyzFT4=s120,ETH,1.59,6794,10000,-0.2724321389984823,403.753711785125062761,0.24202339441161208,46.842899900000006141,-0.565411034106229,21216.819918328063067747
Creepz Genesis,https://lh3.googleusercontent.com/r_FGZQ0mgacLAOzH1MxC9n-yyygNmg37QyjYvM3g4HCl1mOkeGif7_8IW62v_R4Tvx9O9EWdHkNmiQQW30DNxwcvuSbg5EM1FQeSDIo=s120,ETH,2.1,311,11111,-0.3903522789236256,286.514890898294936505,0.12516133448060068,46.028999999999996362,-0.862163744407756,24601.438933328656275989
HUXLEY Comics,https://lh3.googleusercontent.com/7gMGh7tsUXwYFz-pJdYLWo3GdrzUF8e0aiPizi2XeWTBtxCdPU8Zt5dW7P3Ev3Fi5o1XM91SCNe89S-mk0uE6_DTFve6krp6uAByQ3o=s120,ETH,0.248,3562,27788,-0.7213571922980827,284.377341539900214684,0.07428489268112787,21.196199549999999334,5.781167252328196,3551.184065576067951042
Mavia Land,https://lh3.googleusercontent.com/KwtlzGCHxo9CgfOzLHrO1f6a8ty1QSBGFpGyof9DlVw4zpQ-N_tbqzAwI3kQNuItCM47XwwJp97jqs86k6fW304hRLgFpLrBMXPrGQ=s120,ETH,0.715,2406,8001,-0.30687952942344565,1027.197849912769015646,-0.04625306661335972,90.413468696900068267,0,2509.188201544311596081
hausphases by Haus,https://lh3.googleusercontent.com/zpYSsc9x7hJ6veSPqx-IzrDUMrfdGnimXa15KkR2ctEvHIFMmB3n8ogN4C1jAlIVjjicCzE6kj2WRyYeR6uYvBH22xQnJPOPVz5cQQ=s120,ETH,0.58,5181,7777,0.6174460440303823,475.846166863968335292,0.5648706353332634,90.08507999999984861,-0.563352468143828,8146.743338050657257554
Parallel Alpha,https://lh3.googleusercontent.com/nxaymgd9aJIzLXb0r3oLO0VCMFi0Zex1ubTmEYekEKwOVq1YijOULDeT1qCjk71OTsQW47zmvZ2ZuycXorgu6WA6Wosc6CiOuVnAXGk=s120,ETH,0.001,43635,529,-0.4711616336096107,431.111017614770787532,-0.514709975800252,24.968892999999013682,-0.7031344965666102,64039.839936855096311774
Women Tribe NFT,https://lh3.googleusercontent.com/2LhfMy_lvayjRds1DtRGNbJUNSUFderN5QwuKs7AQ5YkyUpbxPrBHXg6b_YxBw3sExI9aD9s5F1KRB_ZrubmOcLamAMiXohzz67CQw=s120,ETH,0.1069,5305,10000,-0.45496651442279473,47.440083798999964415,0.3160167036430138,4.81068590000000107,0,2388.821779078901272442
RaidParty Heroes,https://lh3.googleusercontent.com/xFWORGa69G8bUyY9cDTO-33PSBKd2Ua8GoPQj_0v1xyYgyUYRR05QJi7Fl4Xv75Vdxm-j8Ov5m9hIpR6tw246IGAOGP7vB4VTulYnA=s120,ETH,0.799,1569,5337,-0.3559455524613587,543.731688977388330386,1.6983713811480576,194.205299999899978047,-0.7509612668868834,11836.85520365001866594
The Walking Dead Official,https://lh3.googleusercontent.com/N6RmCQqaCOaFluQihElP55ucIlcyShXyzYV3ceMmk3ihJC-ZZgIYsrNdbOYCPZUT_nXS16izBMvPgBU8MF1q7LQFC1M_WNdViAwLHA=s120,ETH,0.39,2977,5000,-0.8453390946625565,312.713529730427922004,0.0429459963361383,24.480549899000017433,0,2334.643564654958936444
Bunny Buddies,https://lh3.googleusercontent.com/uRNiQu5_VpjhHoYy_QTvqOpIWs5QvSJ36hCrsGV4jP2YDJqIwfBVtR_XALDmmHHyFks6FC919AzvXv0J1AT4WlSEGM6VIODNt07snw=s120,ETH,0.13,4790,8888,-0.8288712844548014,85.628372532100115677,-0.07289173835641004,9.379099999999995774,0,2299.80020742960869029
