name,logo,nativePaymentAsset,floorPrice,numOwners,totalSupply,sevenDayChange,sevenDayVolume,oneDayChange,oneDayVolume,thirtyDayChange,totalVolume
Diamond Baepes,https://lh3.googleusercontent.com/9A2Lxcg5gj_HWCc3EUc3VSHZAUHMrypztvwOAZT4ao4qXdYMCxs2PhDoYplP04wOFat5uh4vNaK4iu3v_1o9j3pf5yX6QuQR9Eqv5w=s120,SOL,22,990,2221,-0.101134831460674,77.79485144057806990754718023,-1,0.000,0,164.3427055163970919945801616
SolChicks,https://lh3.googleusercontent.com/EG8-ZJraXK90iGSvcq-mpPfbYIUuB2OwLJ7iDFTOkeTzbgvVXFAGlqeyPFwOh327yCWv-9-CayBQp5VZ2ZOyTBBA11T-q_MypDYa-A=s120,SOL,7,2732,5414,15.50752688172043,151.9862859374486574916074156,-0.04410480349344972,21.67131187578655355867951442,17.317250183172494,174.8445093294155238329636712
The Chimpions,https://lh3.googleusercontent.com/cyzAPGLQ6kzaLaMeHsaC5RwzFfgL6NmBDkGxxG7f7UaYpm7M5MBEYVvrOuWkh9obMgcS0NnI5m9dUtyD08feuAcIfGKAC8-AuCIs6ng=s120,SOL,80,178,221,-1,0.000,0,0.000,0,158.2752756048283389671331490
Blocksmith Labs,https://lh3.googleusercontent.com/kVWanIsxwQsw3egPHje3ApShycYWbP9v_7wCi-5ekF0RbO_IJi44phhsGH-d4iqzBI7UUv9fJwhfsevDVYzjeqaudsrztvdxkYeCobs=s120,SOL,,2914,4444,-0.7794753232046805,22.96878893867114906560672000,-1,0.000,0,153.3568902953451430524104653
OG Atadia,https://lh3.googleusercontent.com/O8GK9vCJ5Cdtjz9aP3x7M4Bc4Z5HNgcsP0AcZFRjhC8p8fU4icgv2ecfNfZhMBjcYycVgJ2gpvCae_1TfXdbGOg2d6pKCdXRPlSsfQ=s120,SOL,,2274,4999,-1,0.000,0,0.000,0,150.1953644748361838432907706
The Neighborhood,https://lh3.googleusercontent.com/YZDtjZ9umm8XN5zNyfVO_e82XqfMkgxroBcKK0pjRZYjU2-dOA-DQP5mRW9YtPMBrrwy-kCjdxFeIAQHIBych44M0Jz6xsabjDcVKw=s120,SOL,0.45,2178,5414,-0.5192045747096975,36.22930520617731243195054615,-0.3614185863091191,2.324542726557644044003787959,0,127.1864880351225628815454966
Mini Royale: Nations - Season 2 (Premium),https://lh3.googleusercontent.com/1VgJxCD6oXwqqcXq3hkg4DZsK2v7oU6RW4VNl-AnA7zBrU5hWCJHR78piYWVIXhbH89JLzUHZUZKaTjAIMe_TVCLrRvDMuAOcMdyMwg=s120,SOL,1.6,1174,5553,-0.7944233464342397,13.92450319358429667774829715,-1,0.000,0,124.6776059819011304890320335
Bohemia,https://lh3.googleusercontent.com/ZXtHnlkQEo6S_Q_gZ0nGOOivrzIQaWIkFQLJ54Kmq7P9zKZgDn5LmAY-Qqn8nqIn0gwURNAxawwGwKiY0cBFUpsyEqZ2R53FAJ-62A=s120,SOL,,2660,5000,-1,0.000,0,0.000,19,124.7635198613600061718511863
LUX | Real Estate,https://lh3.googleusercontent.com/01et7wMFSqKKkuOcBWaAyAmYwFt3BgxjPwrqZ857p0sFO82Im2diHOJiKCFy6AN1j0q2L7ir2saaeYmtPglsaQdxxorRxFYw5-bcKBM=s120,SOL,4.1,2697,4999,12.995238095238093,86.59958690149533551595252091,1.556676079064139,62.25112643548570646919842356,0,116.3500857927995686968589520
Women's Pride,https://lh3.googleusercontent.com/T9HsstX5QjRORSv-Zd8Oe2fjdA63Pka2a5mI9kKud0tc2g8FX8Q-U4yWuiRv70B4ezGyINcjlklc7ZXtu9iisrRYhIROx-ksWi6UZII=s120,SOL,1.85,488,2032,0,111.9444915821355039226414826,17.757973733583494,99.65461907561131192227884273,0,111.9444915821355039226414826
Degenerate Trash Pandas V2,https://lh3.googleusercontent.com/kRhZ_DnNBod518yHmFlG9w3wZ00_kckepi_su2uwlL-jGE5ATGzJq1QF4x2ctMT2DkLo0oD7JmnQ6ULjz-eoOU2X-INgowf4rZ3UmA,SOL,,299,1265,0.49076923076923074,38.25649846241287298800992959,-1,0.000,0,103.3991429030539915517701793
Synergy Land,https://lh3.googleusercontent.com/liuvAhuqRDvKtNA6ENWgBscZ-eC9srZiIdhL1bSxv5mEuw9qb75Hygaq6m8_vgQBNuWae4fSZQW4l-5Rn6ETNjfoFdjP8YqNeuo1Og=s120,SOL,1.19,2301,7982,0.7026282388632634,16.54515955717257954612485330,4.466666666666667,4.111221465721672031198649632,-0.8206977726609992,1794.379925670837854049667130
Sollamas,https://lh3.googleusercontent.com/UKK0jDfTJrK2Gdz89Z2SMc1L7OO9CTAZKXwih-iESBGHr4u0SQ_qm1oOBiaNn6CrXnh4tmJcmt4pUvHIn8YMaUo47Pmc5WKdAaMgOVk=s120,SOL,0.98,3256,9248,-0.30961727183513266,20.88794193026098564812137742,0.5492957746478876,5.987777715142335412216604081,0,81.11211944537025728541411988
The Exiled Apes,https://lh3.googleusercontent.com/ybUrdDWQ24fpqT5F-OukS6yVsGj6TZ7oL8IR_DezNvNp3BGYXa3RYK4AfVJvivXVgYy3ucAmuBcBcLgFlBbh4gPjnTMbD6G24PlJfA=s120,SOL,,392,518,-1,0.000,0,0.000,0,79.03451790839334186854247550
ASTRALS,https://lh3.googleusercontent.com/-4XsAwHGJwRI-IcxNQYgr6Or2l5fR1_zU4L3GPozLLquVGqgCmP49jhgzoG0l3FpNQ9lbpQXPIGJdeKlQ1bOaaQ-IbkjYp4qrx7F=s120,SOL,16.88,3833,9999,-1,0.000,0,0.000,0,76.85926493949754552684624506
We Are The Walrus,https://lh3.googleusercontent.com/S0ILb-W5wbBKZ9B1K0o6CbDJZwlhG5gp9a_IS3_nCAAk358qg7HgP0EqXPsZt0fPOLspiMlKUjBq_hhxidytj5P3ue-cX8m1Gq8BgQ=s120,SOL,1.79,1727,8285,5.082542694497154,64.84703294937483442207616541,-1,0.000,0,75.50820479910824674386904750
Solana Moonbirds,https://lh3.googleusercontent.com/4-DL6AlNCjzE5gLYWfNvRNbadidsa5lI_FFaDTHVPaOhmvBetO51kfCiaRFj6giq-A6GK0b3hC-a0tUkhsxkAVOVucGvr_G-NsCTvg=s120,SOL,0.1,688,2614,0,73.46177672950576507272701385,-0.31614994780559663,19.86607090131981948788163993,0,73.46177672950576507272701385
